міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
Платон	Платон:ROOT
ойланбастан	ой:ROOT/лан:MORPH/ба:MORPH/с:MORPH/тан:MORPH
араласқанда	ара:ROOT/лас:MORPH/қан:MORPH/да:MORPH
әлі	әлі:ROOT
философ	философ:ROOT
неге	неге:ROOT
тілі	тілі:ROOT
трагедияның	трагедия:ROOT/ның:MORPH
өзінен	өз:ROOT/і:MORPH/нен:MORPH
бірбірінен	бірбір:ROOT/і:MORPH/нен:MORPH
бұл	бұл:ROOT
бесінші	бес:ROOT/інші:MORPH
егжейтегжейлі	егжейтегжей:ROOT/лі:MORPH
жаңғырығы	жаңғырығ:ROOT/ы:MORPH
де	де:ROOT
Фрейд	Фрейд:ROOT
нобайын	нобай:ROOT/ы:MORPH/н:MORPH
жақсартатынын	жақсар:ROOT/т:MORPH/атын:MORPH/ы:MORPH/н:MORPH
терістеуінің	теріс:ROOT/те:MORPH/у:MORPH/і:MORPH/нің:MORPH
ұсақ	ұсақ:ROOT
мүмкін	мүмкін:ROOT
Платонның	Платон:ROOT/ның:MORPH
бай	бай:ROOT
қарсыластарымен	қарсы:ROOT/лас:MORPH/тар:MORPH/ы:MORPH/мен:MORPH
қызметіне	қызмет:ROOT/і:MORPH/не:MORPH
Эриксимах	Эриксимах:ROOT
айту	айт:ROOT/у:MORPH
бір	бір:ROOT
сезімдік	сез:ROOT/ім:MORPH/дік:MORPH
да	да:ROOT
Павсаний	Павсаний:ROOT
Эрос	Эрос:ROOT
ләззатқа	ләззат:ROOT/қа:MORPH
сол	сол:ROOT
шығармада	шығ:ROOT/ар:MORPH/ма:MORPH/да:MORPH
ойланбағанын	ойла:ROOT/н:MORPH/ба:MORPH/ған:MORPH/ы:MORPH/н:MORPH
Декартты	Декарт:ROOT/ты:MORPH
надандықты	надан:ROOT/дық:MORPH/ты:MORPH
француз	француз:ROOT
өз	өз:ROOT
түзетілмеген	түзе:ROOT/т:MORPH/іл:MORPH/ме:MORPH/ген:MORPH
шекарасын	шекара:ROOT/сы:MORPH/н:MORPH
суверен	суверен:ROOT
үшін	үшін:ROOT
тұра	тұр:ROOT/а:MORPH
Нағыз	Нағыз:ROOT
туындаса	туын:ROOT/да:MORPH/са:MORPH
жалғасын	жалғас:ROOT/ы:MORPH/н:MORPH
билікті	билік:ROOT/ті:MORPH
Пікір	Пікір:ROOT
сұңғыла	сұңғыла:ROOT
ұстазының	ұстаз:ROOT/ы:MORPH/ның:MORPH
адамның	адам:ROOT/ның:MORPH
Табиғат	Табиғат:ROOT
шындықтың	шын:ROOT/дық:MORPH/тың:MORPH
заманға	заман:ROOT/ға:MORPH
тұрғысынан	тұрғы:ROOT/сы:MORPH/нан:MORPH
өз	өз:ROOT
ділмәр	діл:ROOT/мәр:MORPH
Мұны	Мұ:ROOT/ны:MORPH
сол	сол:ROOT
күшейте	күш:ROOT/ей:MORPH/т:MORPH/е:MORPH
дәлелдерді	дәлел:ROOT/дер:MORPH/ді:MORPH
көбінесе	көб:ROOT/і:MORPH/не:MORPH/се:MORPH
дастарқан	дастарқан:ROOT
мазмұнына	мазмұн:ROOT/ы:MORPH/на:MORPH
өнерін	өнер:ROOT/ін:MORPH
шығармаларының	шығ:ROOT/ар:MORPH/ма:MORPH/лар:MORPH/ы:MORPH/ның:MORPH
сезім	сез:ROOT/ім:MORPH
Сондықтан	Сондық:ROOT/тан:MORPH
ізгілікті	із:ROOT/гілік:MORPH/ті:MORPH
Бірақ	Бірақ:ROOT
тіпті	тіпті:ROOT
қаза	қаза:ROOT
айтылады	айт:ROOT/ыл:MORPH/а:MORPH/ды:MORPH
құтқаратын	құтқар:ROOT/атын:MORPH
дұрыс	дұрыс:ROOT
бүр	бүр:ROOT
туындайтын	туын:ROOT/да:MORPH/йтын:MORPH
Карл	Карл:ROOT
Платон	Платон:ROOT
қызметке	қызмет:ROOT/ке:MORPH
мен	мен:ROOT
кез	кез:ROOT
үшін	үшін:ROOT
